INSTNM,NPT4_COMBINED
A Better U Beauty Barber Academy,18460
ABC Adult School,16096
ABC Beauty Academy,10107
ABCO Technology,14659
AMG School of Nursing,33363
ASI Career Institute,10692
ASPIRA City College,15727
ATA Career Education,26290
ATA College,20906
ATA College,26914
ATA College,22680
ATA College-Cincinnati,25439
ATI College-Whittier,26689
Aaniiih Nakoda College,11811
Abcott Institute,21007
Abilene Christian University,27401
Abilene Christian University-Undergraduate Online,12714
Abraham Baldwin Agricultural College,6061
Abraham Lincoln University,24825
Academia Medical Institute,24751
Academia Serrant Inc,7900
Academy College,31307
Academy Di Capelli-School of Cosmetology,13622
Academy for Careers and Technology,3766
Academy for Nursing and Health Occupations,29971
Academy for Salon Professionals,12408
Academy of Allied Health Careers,9095
Academy of Art University,39778
Academy of Beauty Professionals,23899
Academy of Careers and Technology,3350
Academy of Cosmetology,19226
Academy of Cosmetology Inc,15890
Academy of Esthetics and Cosmetology,18458
Academy of Hair Design-Grenada,20493
Academy of Hair Design-Jackson,20068
Academy of Hair Design-Jasper,10928
Academy of Hair Design-Las Vegas,20435
Academy of Hair Design-Lufkin,11990
Academy of Hair Design-Pearl,20326
Academy of Hair Design-Springfield,17080
Academy of Interactive Entertainment,36609
Academy of Interactive Entertainment,33319
Academy of Professional Cosmetology,19083
Academy of Salon Professionals,15071
Academy of Salon and Spa,14155
Acaydia School of Aesthetics,19568
Ace Institute of Technology,35092
Acupuncture and Massage College,34656
Adams State University,14173
Adelphi University,28348
Adrian College,21504
Adrian H. Wallace Barber Academy,11291
Adrian's Beauty College of Turlock,24393
Adult and Community Education-Hudson,15805
Adult and Continuing Education-BCTS,14358
Advance Beauty College,11689
Advance Beauty Techs Academy,28695
Advance Science International College,31336
Advanced Barber College and Hair Design,20784
Advanced College of Cosmetology,13510
Advanced Technology Institute,18497
Advanced Welding Institute,24554
Advantage Career Institute,12869
Advantage Technical College,2791
Advantage Technical College,3848
Advantage Technical College-Aguadilla,3162
AdventHealth University,31885
Aesthetic Science Institute,10505
Agape College of Business and Science,6330
Agnes Scott College,24224
Aiken Technical College,5350
Aims Community College,9535
Alabama A & M University,14559
Alabama School of Nail Technology & Cosmetology,18819
Alabama State University,13889
Alamance Community College,16465
Alamo City Barber College,15890
Alaska Bible College,14093
Alaska Career College,18091
Alaska Christian College,5427
Alaska Pacific University,18976
Alaska Vocational Technical Center,12071
